close,bid,ask,bid_volume,ask_volume,volume
4500.992761845492,4500.867761845492,4501.117761845492,862,883,873
4500.2481397660995,4499.9981397660995,4500.4981397660995,1034,1387,1211
4500.854336093838,4500.604336093838,4501.104336093838,2512,1295,1904
4500.837830912783,4500.712830912783,4500.962830912783,2606,1171,1889
4499.475657185731,4499.350657185731,4499.600657185731,834,847,841
4495.888641278364,4495.638641278364,4496.138641278364,708,1097,903
4494.050838614079,4493.925838614079,4494.175838614079,2152,799,1476
4491.425684941267,4491.300684941267,4491.550684941267,1080,2059,1570
4493.663402657316,4493.538402657316,4493.788402657316,496,1483,990
4495.264093353421,4495.139093353421,4495.389093353421,1460,505,983
4497.046585408967,4496.796585408967,4497.296585408967,1425,956,1191
4495.626481888368,4495.501481888368,4495.751481888368,601,1528,1065
4494.488724222207,4494.238724222207,4494.738724222207,729,1618,1174
4492.1720964404785,4491.7970964404785,4492.5470964404785,692,1571,1132
4494.718409938804,4494.593409938804,4494.843409938804,1668,2107,1888
4495.778561667959,4495.653561667959,4495.903561667959,2086,867,1477
4495.022514996291,4494.897514996291,4495.147514996291,940,1923,1432
4494.7963831203,4494.5463831203,4495.0463831203,1165,1528,1347
4496.485503038821,4496.360503038821,4496.610503038821,1298,1315,1307
4495.021239916629,4494.896239916629,4495.146239916629,2644,1047,1846
4498.834997395365,4498.709997395365,4498.959997395365,1104,2279,1692
4498.583720357829,4498.458720357829,4498.708720357829,919,1220,1070
4500.784590287885,4500.659590287885,4500.909590287885,1745,1508,1627
4502.27343186681,4502.14843186681,4502.39843186681,504,1315,910
4501.8055030712085,4501.5555030712085,4502.0555030712085,1217,2178,1698
4498.761875561782,4498.636875561782,4498.886875561782,2219,834,1527
4500.724808232092,4500.599808232092,4500.849808232092,1894,1113,1504
4500.269969083986,4499.894969083986,4500.644969083986,1560,679,1120
4502.073146072499,4501.823146072499,4502.323146072499,2076,1709,1893
4504.298287166779,4504.173287166779,4504.423287166779,1080,2627,1854
4502.584941489303,4502.459941489303,4502.709941489303,723,1342,1033
4500.983905067949,4500.858905067949,4501.108905067949,1426,1001,1214
4503.141961580683,4502.891961580683,4503.391961580683,574,1333,954
4501.278434950887,4501.153434950887,4501.403434950887,1799,938,1369
4502.102287071721,4501.727287071721,4502.477287071721,631,1252,942
